PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_num,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S
0001_01,0,0.720931614531766,0,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,False,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0002_01,0,-0.3325568905093579,0,1.0865378248333124,0.13689762032511943,0.6412635694396619,1.6203041067992683,0.7552270198099083,True,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0003_01,0,2.0553503875838564,1,0.7499016957154093,2.1434550805341064,-0.6248885376370679,2.525888757965002,0.7937003682783101,False,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0003_02,0,0.2995362125153165,0,-0.6403720524482873,1.79380989623721,1.675294970646086,2.2720108902846277,1.288795879208839,False,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0004_01,0,-0.8944174265312906,0,1.4600072360388692,0.8058171898380032,1.3274774628602786,1.6306817816132475,-0.23364208743037843,True,0.09184438289660364,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0005_01,0,1.072094449545474,0,-0.6403720524482873,1.4608506079261732,-0.6248885376370679,1.3911640290819978,-0.63481033484923,True,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0006_01,0,-0.19209175650387472,0,0.741455574679547,1.8558533534281108,-0.08615080967936879,-0.6632339304133921,-0.63481033484923,True,0.1455699027929923,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0006_02,1,-0.05162662249839152,0,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,True,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0007_01,0,0.44000134652079964,0,-0.6403720524482873,1.6263223472009685,0.4983594228784503,1.2837326864921885,-0.63481033484923,True,0.18368876579320728,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0008_01,1,-1.034882560536774,0,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,True,0.09184438289660364,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0008_02,1,0.36976877951805803,0,-0.6403720524482873,-0.6489032714011534,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,True,0.09184438289660364,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0008_03,0,1.1423270165482156,0,0.7148856807337519,2.3867122291498175,1.8545363349018393,1.0411290863325509,1.1282922446150763,True,0.09184438289660364,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0009_01,0,0.22930364551257487,0,0.9408987844663151,-0.6489032714011534,2.1050103673181955,-0.6632339304133921,1.0946555108985563,True,0.09184438289660364,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
0010_01,0,1.3530247175564405,0,1.77677960418283,-0.4123536323720409,1.0032830397349575,-0.6632339304133921,0.5405913847936407,False,0.09184438289660364,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0011_01,0,-0.05162662249839152,0,0.16686646998475704,1.6998592209887022,0.3718947054608123,-0.2656498669272334,0.12451661560477828,True,0.1455699027929923,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0012_01,0,0.15907107850983326,0,0.6442101548998634,-0.6489032714011534,2.008578122077869,-0.6632339304133921,-0.63481033484923,False,0.5855115625135734,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0014_01,0,-0.12185918950113311,0,1.9901663764752653,0.9933460287912208,-0.6248885376370679,-0.6632339304133921,-0.63481033484923,False,0.18368876579320728,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
